Class,Location,Day/Time
AM 10 - 01   Math Methods I,LEC: Media Theater M110,MWF 04:00PM-05:05PM
AM 10 - 01 DIS 01A,PhysSciences 136,M 09:20AM-10:25AM
AM 10 - 01 DIS 01B,PhysSciences 140,Tu 08:30AM-09:35AM
AM 10 - 01 DIS 01C,PhysSciences 136,Tu 07:10PM-08:15PM
AM 10 - 01 DIS 01D,N. Sci Annex 103,W 10:40AM-11:45AM
AM 10 - 01 DIS 01E,PhysSciences 136,W 06:40PM-07:45PM
AM 10 - 01 DIS 01F,Soc Sci 1 161,Tu 06:40PM-07:45PM
AM 10 - 01 DIS 01G,J Baskin Engr 372,Tu 08:30AM-09:35AM
AM 10 - 01 DIS 01H,N. Sci Annex 103,M 01:20PM-02:25PM
AM 10 - 01 DIS 01I,N. Sci Annex 103,M 12:00PM-01:05PM
AM 10 - 01 DIS 01J,J Baskin Engr 156,M 08:00AM-09:05AM
AM 100 - 01   Math Methods III,LEC: PhysSciences 114,TuTh 03:20PM-04:55PM
AM 11A - 01   Math Methd for Econ,LEC: Soc Sci 1 110,MWF 01:20PM-02:25PM
AM 11A - DIS 01A,J Baskin Engr 372,W 05:20PM-06:25PM
AM 11A - DIS 01B,PhysSciences 136,Tu 08:30AM-09:35AM
AM 11B - 01   Math Methds Econ II,LEC: Kresge Acad 3201,MWF 10:40AM-11:45AM
AM 11B - DIS 01A,Oakes Acad 106,Th 05:20PM-06:25PM
AM 11B - DIS 01B,PhysSciences 130,W 08:00AM-09:05AM
AM 11B - DIS 01C,PhysSciences 130,M 02:40PM-03:45PM
AM 170B - 01   Math Model 2,LEC: Cowell Acad 113,TuTh 11:40AM-01:15PM
AM 178A - 01   Learn Assist Training,LEC: Crown Clrm 105,MF 09:20AM-10:25AM
AM 20 - 01   Math Methods II,LEC: ClassroomUnit 002,MWF 01:20PM-02:25PM
AM 20 - 01 DIS 01A,Soc Sci 2 159,Tu 08:00AM-09:05AM
AM 20 - 01 DIS 01B,J Baskin Engr 156,Tu 05:20PM-06:25PM
AM 20 - 01 DIS 01C,Soc Sci 1 145,Tu 06:40PM-07:45PM
AM 20 - 01 DIS 01D,Earth&Marine B210,W 04:00PM-05:05PM
AM 20 - 01 DIS 01E,Soc Sci 1 161,W 10:40AM-11:45AM
AM 20 - 01 DIS 01F,Oakes Acad 106,F 09:20AM-10:25AM
AM 213B - 01   Num Mthds Diff Eq,LEC: Soc Sci 2 167,TuTh 03:20PM-04:55PM
AM 224 - 01   Applied Dynamical Sys,LEC: N. Sci Annex 103,TuTh 01:30PM-03:05PM
AM 250 - 01   Intro High Perf Comp,LEC: J Baskin Engr 156,TuTh 09:50AM-11:25AM
AM 260 - 01   Comp Fluid Dynamics,LEC: Soc Sci 2 137,TuTh 11:40AM-01:15PM
AM 280B - 01   Applied Math Model,SEM: J Baskin Engr 372,M 04:00PM-05:05PM
AM 280C - 01   Seminar in GAFD,SEM: J Baskin Engr 169,F 01:20PM-02:25PM
AM 30 - 01   SOE Calculus III,LEC: Steven Acad 175,MWF 12:00PM-01:05PM
AM 30 - 01 DIS 01A,Earth&Marine B214,W 06:40PM-07:45PM
AM 30 - 01 DIS 01B,Earth&Marine B210,Tu 01:30PM-02:35PM
ANTH 103 - 01   Forensic Anthro,LEC: Soc Sci 1 461,TuTh 01:30PM-03:05PM
ANTH 105 - 01   Human Paleopathology,LEC: PhysSciences 114,TuTh 09:50AM-11:25AM
ANTH 107E - 01   Lithic Technology,LAB: Soc Sci 1 451,Th 09:00AM-12:00PM
ANTH 108 - 01   Neanderthals,LEC: PhysSciences 130,TuTh 03:20PM-04:55PM
ANTH 110C - 01   California Pasts,LEC: PhysSciences 130,TuTh 09:50AM-11:25AM
ANTH 110G - 01   Westside Stories,LEC: Earth&Marine B214,TuTh 03:20PM-04:55PM
ANTH 110S - 01   Evolution/Democracy,LEC: Engineer 2 194,TuTh 11:40AM-01:15PM
"ANTH 125 - 01   Magic,Sci,Religion",LEC: Cowell Clrm 131,TuTh 08:00AM-09:35AM
ANTH 130D - 01   Israel-Palestine,LEC: McHenry Lib 1340,TuTh 11:40AM-01:15PM
ANTH 130F - 01   Blackness In Motion,LEC: PhysSciences 114,TuTh 05:20PM-06:55PM
ANTH 131 - 01   Gender in Culture,LEC: Soc Sci 2 179,TuTh 08:00AM-09:35AM
ANTH 142 - 01   Anthropology of Law,LEC: Cowell Clrm 131,TuTh 11:40AM-01:15PM
ANTH 151 - 01   Ethnography Wrkshop,SEM: Crown Clrm 202,TuTh 08:00AM-09:35AM
ANTH 170 - 01   His Archaeol Theory,LEC: Soc Sci 2 159,TuTh 01:30PM-03:05PM
ANTH 183 - 01   Anthropology GIS Lab,LAB: ISB 486,W 09:00AM-12:00PM
ANTH 188C - 01   Arch Practicum C,LAB: Soc Sci 1 341,MF 09:20AM-11:45AM
ANTH 189A - 01   Arch Field Techniques,SEM: Soc Sci 1 153,F 09:20AM-12:20PM
ANTH 194I - 01   Consumptn/Consumerism,SEM: Soc Sci 2 141,M 12:00PM-03:00PM
ANTH 194V - 01   Who Owns the Past?,SEM: Porter Acad 245,W 09:20AM-12:20PM
ANTH 196K - 01   Settler Colonialism,SEM: Porter Acad 249,M 09:20AM-12:20PM
ANTH 196S - 01   S. Asian Food Cultures,SEM: Soc Sci 2 137,W 10:40AM-01:40PM
ANTH 2 - 01   Intr Culturl Anthro,LEC: Humn Lecture Hall,TuTh 01:30PM-03:05PM
ANTH 2 - 01 DIS 01A,Soc Sci 1 317,Tu 08:30AM-09:35AM
ANTH 2 - 01 DIS 01B,Soc Sci 1 317,Tu 09:50AM-10:55AM
ANTH 2 - 01 DIS 01C,Soc Sci 1 317,Tu 03:20PM-04:25PM
ANTH 2 - 01 DIS 01D,Soc Sci 1 317,W 01:20PM-02:25PM
ANTH 2 - 01 DIS 01E,Soc Sci 1 317,Th 08:30AM-09:35AM
ANTH 2 - 01 DIS 01F,Soc Sci 1 317,Th 09:50AM-10:55AM
ANTH 2 - 01 DIS 01G,Soc Sci 1 317,Th 11:40AM-12:45PM
ANTH 2 - 01 DIS 01H,Soc Sci 1 317,Th 03:20PM-04:25PM
ANTH 2 - 01 DIS 01I,Soc Sci 1 317,F 09:20AM-10:25AM
ANTH 2 - 01 DIS 01J,Soc Sci 1 317,F 10:40AM-11:45AM
ANTH 2 - 01 DIS 01K,Soc Sci 1 317,F 12:00PM-01:05PM
ANTH 2 - 01 DIS 01L,Soc Sci 1 317,F 01:20PM-02:25PM
ANTH 208A - 01   Ethnograph Practice,SEM: Soc Sci 1 414,W 09:00AM-12:00PM
ANTH 220 - 01   Cartography Culture,SEM: Soc Sci 1 317,Tu 11:00AM-02:00PM
ANTH 238 - 01   Cultural Anthropol,SEM: Soc Sci 1 414,F 11:00AM-02:00PM
ANTH 283 - 01   GIS Lab,LAB: ISB 486,W 09:00AM-12:00PM
ANTH 287 - 01   Adv Topic Archaeology,SEM: Soc Sci 1 317,M 09:00AM-12:00PM
ANTH 292 - 01   Graduate Colloquim,SEM: Soc Sci 1 261,W 03:30PM-05:00PM
APLX 101 - 01   L2 Acquisition,LEC: Soc Sci 2 159,TuTh 11:40AM-01:15PM
APLX 124 - 01   L2 Variation,LEC: Soc Sci 2 165,TuTh 03:20PM-04:55PM
APLX 135 - 01   Second Lang Teach,SEM: McHenry Lib 1350,TuTh 01:30PM-03:05PM
APLX 190 - 01   Research Sem APLX,SEM: Oakes Acad 222,MWF 09:20AM-10:25AM
APLX 235 - 01   Second Lang Teach,SEM: McHenry Lib 1350,TuTh 01:30PM-03:05PM
ARBC 3 - 01   Arabic: First Year,LEC: Steven Acad 151,TuTh 09:50AM-11:25AM
ARBC 6 - 01   Arabic: Second-Year,LEC: Steven Acad 151,TuTh 11:40AM-01:15PM
ART 101 - 01   Computer Prog Arts,LEC: Oakes Acad 105,TuTh 11:40AM-01:15PM
ART 101 - 01 DIS 01A,R Carson Acad 242,M 04:00PM-05:05PM
ART 101 - 01 DIS 01B,Steven Acad 151,Tu 07:10PM-08:15PM
ART 101 - 01 DIS 01C,Soc Sci 2 159,M 12:00PM-01:05PM
ART 101 - 01 DIS 01D,Steven Acad 151,Th 08:30AM-09:35AM
ART 106G - 01   Immersive Nonfiction,STU: Elena Baskin Arts E102,MWF 12:00PM-02:25PM
ART 10F - #51269 LBS 01G,Porter Acad 240,Th 11:40AM-12:45PM
ART 10F - #51270 LBS 01H,Porter Acad 240,Th 03:20PM-04:25PM
ART 10F - #51289 LBS 01F,Porter Acad 240,W 10:40AM-11:45AM
ART 10F - #51310 LBS 01D,Porter Acad 240,Tu 09:50AM-10:55AM
ART 10F - #51311 LBS 01E,Porter Acad 240,Tu 01:30PM-02:35PM
ART 10F - #51359 LBS 01B,Porter Acad 240,M 02:40PM-03:45PM
ART 10F - #51438 LBS 01A,Porter Acad 240,M 12:00PM-01:05PM
ART 10F - #51506 LBS 01C,Porter Acad 240,M 04:00PM-05:05PM
ART 10F - 01   4D Foundation,LEC: ClassroomUnit 002,TuTh 05:20PM-06:55PM
ART 119 - 01   Spec Topics Drawing,STU: Elena Baskin Arts L101,TuThSa 09:00AM-11:25AM
ART 125 - 01   Enviro Art Studio,STU: Elena Baskin Arts H101,MWF 12:00PM-02:25PM
ART 137 - 01   Outdoor Paint Proj,STU: Elena Baskin Arts J101,TuThSa 11:40AM-02:05PM
ART 139 - 01   Spec Topcs Painting,STU: Elena Baskin Arts L101,MWF 09:20AM-11:45AM
ART 150 - 01   Darkroom Practices,STU: Elena Baskin Arts I200,TuThSa 02:25PM-04:50PM
"ART 154B - 01   Photo, Place, Environ",STU: Elena Baskin Arts I200,TuThSa 09:00AM-11:25AM
ART 157 - 01   Arts Field Research,FLD: Elena Baskin Arts E101,M 10:00AM-11:30AM
ART 163C - 01   Magnified Imagination,STU: Elena Baskin Arts F101,TuThSa 11:40AM-02:05PM
ART 165 - 01   Print Med Vis Comm,STU: Elena Baskin Arts G101,MWF 12:00PM-02:25PM
ART 170 - 01   Playgrounds,STU: Elena Baskin Arts A101,TuThSa 11:40AM-02:05PM
ART 177 - 01   Careers Creative Econ,SEM: Porter Acad 144,W 05:20PM-06:55PM
ART 182 - 01   Materiality of Color,STU: Elena Baskin Arts P108,TuThSa 02:25PM-04:50PM
ART 188 - 01   Bronze Casting Foundry,STU: TA Foundry 100,TuThSa 02:25PM-04:50PM
ART 189 - 01   SpecialTopicsSculpture,STU: Elena Baskin Arts P108,MWF 09:20AM-11:45AM
ART 190B - 01   Senior Project,STU: Elena Baskin Arts M101,MWF 02:40PM-05:05PM
ART 20G - 01   Intro Print/Draw,STU: Elena Baskin Arts G101,TuThSa 09:00AM-11:25AM
ART 20I - 01   Intro Photography,STU: Elena Baskin Arts I200,MWF 09:20AM-11:45AM
ART 20J - 01   Intro Draw/Paint,STU: Elena Baskin Arts J101,MWF 12:00PM-02:25PM
ART 210C - 01   PracBasedRsrch:Context,FLD: Elena Baskin Arts I200,F 10:00AM-03:00PM
ART 250 - 01   Writing Matters,SEM: Elena Baskin Arts A101,W 03:00PM-06:00PM
ART 257 - 01   Arts Field Research,FLD: Elena Baskin Arts E101,M 10:00AM-11:30AM
ART 270B - 01   ProjDevCritqII,FLD: Elena Baskin Arts E101,F 10:00AM-03:00PM
ARTG 134 - 01   Spectacular Play,STU: TA Exp Theater L106,TuTh 11:40AM-01:15PM
