index,Location,Address
15,             McHenry Lib, "414 McHenry Rd Santa Cruz, CA 95064"
34,      Sci & Engr Library, "580 Red Hill Rd Santa Cruz, CA 95064"
62,              Steven Lib, "Adlai E. Stevenson Library Santa Cruz, CA 95060"  
1,               Paige Smith Library, "Paige Smith Library, Santa Cruz, CA 95064"
4,               Computer Lab, "Computer Lab Santa Cruz, CA 95064"
5, Mary Holmes Fireside Lounge, "Mary Holmes Fireside Lounge Santa Cruz, CA 95064"
6, Crown Library, "628 Crown Road Santa Cruz, CA 95064"
7, UCSC Cantu Queer Center, "633 Crown Rd Santa Cruz, CA 95064"
8, Ming Ong Computer Lab, "630 Merrill Rd Santa Cruz, CA 95064"
9, Fireside Lounge, "630 Crown Rd Santa Cruz, CA 95064"
10, Cultural Center at Merrill, "Cultural Center at Merrill, Santa Cruz, CA 95064"
12, Charles E Merrill Lounge, "Charles E Merrill Lounge, Santa Cruz, CA 95064"
14, Kresge Academic Building, "498 Porter-Kresge Rd, Santa Cruz, CA 95064"
17, Rachel Carson Academic 252, "Housing Services 350 College Eight Rd Santa Cruz, CA 95064"
18, Namaste Lounge, "Namaste Lounge College Nine Rd Santa Cruz, CA 95064"
19, Terry Freitas Commons, "Terry Freitas Commons, Santa Cruz, CA 95064"
21, Recreational Lounge, "Recreational Lounge Santa Cruz, CA 95064"
22, Social Science Computer Lab, "Social Sciences 1 Santa Cruz, CA 95064"
23, International Living Center, "College Nine/Ten Apartments Building 4, Santa Cruz, CA 95064"

