Class,Location,Day/Time
AM 10 - 01 DIS 01A,PhysSciences 136,M 09:20AM-10:25AM
AM 10 - 01 DIS 01B,PhysSciences 140,Tu 08:30AM-09:35AM
AM 10 - 01 DIS 01C,PhysSciences 136,Tu 07:10PM-08:15PM
AM 10 - 01 DIS 01D,N. Sci Annex 103,W 10:40AM-11:45AM
AM 10 - 01 DIS 01E,PhysSciences 136,W 06:40PM-07:45PM
AM 10 - 01 DIS 01F,Soc Sci 1 161,Tu 06:40PM-07:45PM
AM 10 - 01 DIS 01G,J Baskin Engr 372,Tu 08:30AM-09:35AM
AM 10 - 01 DIS 01H,N. Sci Annex 103,M 01:20PM-02:25PM
AM 10 - 01 DIS 01I,N. Sci Annex 103,M 12:00PM-01:05PM
AM 10 - 01 DIS 01J,J Baskin Engr 156,M 08:00AM-09:05AM
AM 11A - DIS 01A,J Baskin Engr 372,W 05:20PM-06:25PM
AM 11A - DIS 01B,PhysSciences 136,Tu 08:30AM-09:35AM
AM 11B - DIS 01A,Oakes Acad 106,Th 05:20PM-06:25PM
AM 11B - DIS 01B,PhysSciences 130,W 08:00AM-09:05AM
AM 11B - DIS 01C,PhysSciences 130,M 02:40PM-03:45PM
AM 20 - 01 DIS 01A,Soc Sci 2 159,Tu 08:00AM-09:05AM
AM 20 - 01 DIS 01B,J Baskin Engr 156,Tu 05:20PM-06:25PM
AM 20 - 01 DIS 01C,Soc Sci 1 145,Tu 06:40PM-07:45PM
AM 20 - 01 DIS 01D,Earth&Marine B210,W 04:00PM-05:05PM
AM 20 - 01 DIS 01E,Soc Sci 1 161,W 10:40AM-11:45AM
AM 20 - 01 DIS 01F,Oakes Acad 106,F 09:20AM-10:25AM
AM 30 - 01 DIS 01A,Earth&Marine B214,W 06:40PM-07:45PM
AM 30 - 01 DIS 01B,Earth&Marine B210,Tu 01:30PM-02:35PM
ANTH 2 - 01 DIS 01A,Soc Sci 1 317,Tu 08:30AM-09:35AM
ANTH 2 - 01 DIS 01B,Soc Sci 1 317,Tu 09:50AM-10:55AM
ANTH 2 - 01 DIS 01C,Soc Sci 1 317,Tu 03:20PM-04:25PM
ANTH 2 - 01 DIS 01D,Soc Sci 1 317,W 01:20PM-02:25PM
ANTH 2 - 01 DIS 01E,Soc Sci 1 317,Th 08:30AM-09:35AM
ANTH 2 - 01 DIS 01F,Soc Sci 1 317,Th 09:50AM-10:55AM
ANTH 2 - 01 DIS 01G,Soc Sci 1 317,Th 11:40AM-12:45PM
ANTH 2 - 01 DIS 01H,Soc Sci 1 317,Th 03:20PM-04:25PM
ANTH 2 - 01 DIS 01I,Soc Sci 1 317,F 09:20AM-10:25AM
ANTH 2 - 01 DIS 01J,Soc Sci 1 317,F 10:40AM-11:45AM
ANTH 2 - 01 DIS 01K,Soc Sci 1 317,F 12:00PM-01:05PM
ANTH 2 - 01 DIS 01L,Soc Sci 1 317,F 01:20PM-02:25PM
ART 10F - #51438 LBS 01A,Porter Acad 240,M 12:00PM-01:05PM
ART 10F - #51359 LBS 01B,Porter Acad 240,M 02:40PM-03:45PM
ART 10F - #51506 LBS 01C,Porter Acad 240,M 04:00PM-05:05PM
ART 10F - #51310 LBS 01D,Porter Acad 240,Tu 09:50AM-10:55AM
ART 10F - #51311 LBS 01E,Porter Acad 240,Tu 01:30PM-02:35PM
ART 10F - #51289 LBS 01F,Porter Acad 240,W 10:40AM-11:45AM
ART 10F - #51269 LBS 01G,Porter Acad 240,Th 11:40AM-12:45PM
ART 10F - #51270 LBS 01H,Porter Acad 240,Th 03:20PM-04:25PM
ART 101 - 01 DIS 01A,R Carson Acad 242,M 04:00PM-05:05PM
ART 101 - 01 DIS 01B,Steven Acad 151,Tu 07:10PM-08:15PM
ART 101 - 01 DIS 01C,Soc Sci 2 159,M 12:00PM-01:05PM
ART 101 - 01 DIS 01D,Steven Acad 151,Th 08:30AM-09:35AM
ARTG 50 - 01 #50585 STS 01A,Digital Arts 230,F 02:40PM-03:45PM
ARTG 50 - 01 #50584 STS 01B,Digital Arts 230,F 04:00PM-05:05PM
ARTG 172 - 01 #50582 STS 01A,Digital Arts 308,F 10:40AM-11:45AM
ARTG 172 - 01 #50583 STS 01B,Digital Arts 308,F 12:00PM-01:05PM
ARTG 172 - 01 #50581 STS 01C,Digital Arts 308,F 10:40AM-11:45AM
ARTG 172 - 01 #50580 STS 01D,Digital Arts 308,F 12:00PM-01:05PM
ARTG 172 - 01 #50578 STS 01E,Digital Arts 308,F 10:40AM-11:45AM
ARTG 172 - 01 #50577 STS 01F,Digital Arts 308,F 12:00PM-01:05PM
ASTR 5 - 01 DIS 01A,McHenry Lib 1340,M 12:00PM-01:05PM
ASTR 5 - 01 DIS 01B,McHenry Lib 1340,M 02:40PM-03:45PM
ASTR 5 - 01 DIS 01C,Soc Sci 1 161,M 05:20PM-06:25PM
ASTR 5 - 01 DIS 01D,J Baskin Engr 165,W 08:00AM-09:05AM
ASTR 5 - 01 DIS 01E,Engineer 2 192,F 10:40AM-11:45AM
ASTR 5 - 01 DIS 01F,McHenry Lib 1340,F 04:00PM-05:05PM
ASTR 19 - 01 DIS 01A,ISB 165,M 05:20PM-06:25PM
ASTR 19 - 01 DIS 01B,ISB 165,W 05:20PM-06:25PM
ASTR 21 - 01 DIS 01A,ISB 165,M 09:20AM-10:25AM
ASTR 21 - 01 DIS 01B,ISB 165,Tu 05:20PM-06:25PM
ASTR 119 - 01 #52664 LBS 01A,McHenry Lib 1340,M 04:00PM-05:05PM
BIOC 100C - DIS 01A,Earth&Marine B214,W 10:40AM-11:45AM
BIOC 100C - DIS 01B,McHenry Lib 1350,W 01:20PM-02:25PM
BIOC 100C - DIS 01C,J Baskin Engr 156,F 10:40AM-11:45AM
BIOC 100C - DIS 01D,Earth&Marine B214,F 01:20PM-02:25PM
BIOC 163B - DIS 01A,McHenry Lib 1350,W 10:40AM-11:45AM
BIOC 163B - DIS 01B,McHenry Lib 1350,F 10:40AM-11:45AM
BIOE 20B - DIS 01A,McHenry Lib 1340,Tu 08:00AM-09:05AM
BIOE 20B - DIS 01B,McHenry Lib 1340,W 08:00AM-09:05AM
BIOE 20B - DIS 01C,McHenry Lib 1340,W 05:20PM-06:25PM
BIOE 20B - DIS 01D,McHenry Lib 1340,W 06:40PM-07:45PM
BIOE 20B - DIS 01E,Cowell Acad 113,F 12:00PM-01:05PM
BIOE 20B - DIS 01F,Cowell Acad 113,F 01:20PM-02:25PM
BIOE 20B - DIS 01G,N. Sci Annex 102,W 10:40AM-11:45AM
BIOE 20B - DIS 01H,Thimann Lab 101,W 12:00PM-01:05PM
BIOE 20C - DIS 01A,McHenry Lib 1350,Tu 08:30AM-09:35AM
BIOE 20C - DIS 01B,McHenry Lib 1350,Tu 06:40PM-07:45PM
BIOE 20C - DIS 01C,R Carson  Acad 252,W 06:40PM-07:45PM
BIOE 20C - DIS 01D,R Carson  Acad 252,W 04:00PM-05:05PM
BIOE 20C - DIS 01E,J Baskin Engr 372,Th 11:40AM-12:45PM
BIOE 20C - DIS 01F,PhysSciences 140,Th 05:20PM-06:25PM
BIOE 20C - DIS 01G,Oakes Acad 106,Th 09:50AM-10:55AM
BIOE 20C - DIS 01H,Steven Acad 151,F 08:00AM-09:05AM
BIOE 20C - DIS 01I,Earth&Marine B210,F 02:40PM-03:45PM
BIOE 107 - 01 DIS 01A,CoastBio 110,Tu 04:15PM-05:20PM
BIOE 107 - 01 DIS 01B,CoastBio 115,W 08:40AM-09:45AM
BIOE 107 - 01 DIS 01C,CoastBio 115,Th 01:00PM-02:05PM
BIOE 107 - 01 DIS 01D,CoastBio 115,Th 04:15PM-05:20PM
BIOE 109 - 01 DIS 01A,CoastBio 115,Tu 02:20PM-03:25PM
BIOE 109 - 01 DIS 01B,CoastBio 115,W 03:40PM-04:45PM
BIOE 109 - 01 DIS 01C,CoastBio 115,Th 11:00AM-12:05PM
BIOE 109 - 01 DIS 01D,CoastBio 115,Th 02:20PM-03:25PM
BIOE 118 - 01 DIS 01A,Thimann Lab 239,Th 03:20PM-04:25PM
BIOE 118 - 01 DIS 01B,PhysSciences 140,Tu 05:20PM-06:25PM
BIOE 121 - 01 DIS 01A,CoastBio 110,M 05:15PM-06:20PM
BIOE 136 - 01 DIS 01A,CoastBio 115,M 03:15PM-04:20PM
BIOE 136 - 01 DIS 01B,CoastBio 110,W 12:00PM-01:05PM
BIOE 149 - 01 DIS 01A,CoastBio 115,Tu 12:15PM-01:20PM
BIOE 149 - 01 DIS 01B,CoastBio 115,Th 09:00AM-10:05AM
BIOL 20A - DIS 01A,McHenry Lib 1340,M 09:20AM-10:25AM
BIOL 20A - DIS 01B,McHenry Lib 1340,M 08:00AM-09:05AM
BIOL 20A - DIS 01C,McHenry Lib 1340,M 10:40AM-11:45AM
BIOL 20A - DIS 01D,Crown Clrm 208,Tu 08:00AM-09:05AM
BIOL 20A - DIS 01E,Earth&Marine B210,Tu 07:10PM-08:15PM
BIOL 20A - DIS 01F,PhysSciences 140,W 08:00AM-09:05AM
BIOL 20A - DIS 01G,Kresge Acad 3105,W 12:00PM-01:05PM
BIOL 20A - DIS 01H,Kresge Acad 3101,W 10:40AM-11:45AM
BIOL 20A - DIS 01I,McHenry Lib 1340,Th 08:00AM-09:05AM
BIOL 20A - DIS 01J,Crown Clrm 208,Th 07:10PM-08:15PM
BIOL 20A - DIS 01K,Kresge Acad 3101,F 10:40AM-11:45AM
BIOL 20A - DIS 01L,Kresge Acad 3101,F 12:00PM-01:05PM
BIOL 20A - DIS 01M,Earth&Marine B210,W 05:20PM-06:25PM
BIOL 20A - DIS 01N,N. Sci Annex 102,Th 08:00AM-09:05AM
BIOL 20A - DIS 01O,Earth&Marine B214,F 08:00AM-09:05AM
BIOL 20A - DIS 01P,McHenry Lib 1340,M 05:20PM-06:25PM
BIOL 100 - 01 DIS 01A,Earth&Marine B214,M 08:00AM-09:05AM
BIOL 100 - 01 DIS 01B,Cowell Acad 113,M 12:00PM-01:05PM
BIOL 100 - 01 DIS 01C,Cowell Acad 113,M 01:20PM-02:25PM
BIOL 100 - 01 DIS 01D,Cowell Com 134,W 06:40PM-07:45PM
BIOL 100 - 01 DIS 01E,Cowell Acad 113,W 07:10PM-08:15PM
BIOL 105 - 01 DIS 01A,Earth&Marine B210,M 09:20AM-10:25AM
BIOL 105 - 01 DIS 01B,Earth&Marine B214,Tu 06:40PM-07:45PM
BIOL 105 - 01 DIS 01C,Earth&Marine B214,W 05:20PM-06:25PM
BIOL 105 - 01 DIS 01D,Earth&Marine B214,Th 08:30AM-09:35AM
BIOL 105 - 01 DIS 01E,Earth&Marine B214,F 09:20AM-10:25AM
BIOL 105 - 01 DIS 01F,Earth&Marine B214,M 02:40PM-03:45PM
BIOL 105 - 01 DIS 01G,Engineer 2 194,F 09:20AM-10:25AM
BIOL 105 - 01 DIS 01H,PhysSciences 140,M 07:10PM-08:15PM
BIOL 110 - 01 DIS 01A,N. Sci Annex 102,W 08:00AM-09:05AM
