Class,Location,Day/Time
AM 10 - 01   Math Methods I,LEC: Media Theater M110,MWF 04:00PM-05:05PM
AM 11A - 01   Math Methd for Econ,LEC: Soc Sci 1 110,MWF 01:20PM-02:25PM
AM 11B - 01   Math Methds Econ II,LEC: Kresge Acad 3201,MWF 10:40AM-11:45AM
AM 20 - 01   Math Methods II,LEC: ClassroomUnit 002,MWF 01:20PM-02:25PM
AM 30 - 01   SOE Calculus III,LEC: Steven Acad 175,MWF 12:00PM-01:05PM
AM 100 - 01   Math Methods III,LEC: PhysSciences 114,TuTh 03:20PM-04:55PM
AM 170B - 01   Math Model 2,LEC: Cowell Acad 113,TuTh 11:40AM-01:15PM
AM 178A - 01   Learn Assist Training,LEC: Crown Clrm 105,MF 09:20AM-10:25AM
AM 213B - 01   Num Mthds Diff Eq,LEC: Soc Sci 2 167,TuTh 03:20PM-04:55PM
AM 224 - 01   Applied Dynamical Sys,LEC: N. Sci Annex 103,TuTh 01:30PM-03:05PM
AM 250 - 01   Intro High Perf Comp,LEC: J Baskin Engr 156,TuTh 09:50AM-11:25AM
AM 260 - 01   Comp Fluid Dynamics,LEC: Soc Sci 2 137,TuTh 11:40AM-01:15PM
AM 280B - 01   Applied Math Model,SEM: J Baskin Engr 372,M 04:00PM-05:05PM
AM 280C - 01   Seminar in GAFD,SEM: J Baskin Engr 169,F 01:20PM-02:25PM
ANTH 2 - 01   Intr Culturl Anthro,LEC: Humn Lecture Hall,TuTh 01:30PM-03:05PM
ANTH 103 - 01   Forensic Anthro,LEC: Soc Sci 1 461,TuTh 01:30PM-03:05PM
ANTH 105 - 01   Human Paleopathology,LEC: PhysSciences 114,TuTh 09:50AM-11:25AM
ANTH 107E - 01   Lithic Technology,LAB: Soc Sci 1 451,Th 09:00AM-12:00PM
ANTH 108 - 01   Neanderthals,LEC: PhysSciences 130,TuTh 03:20PM-04:55PM
ANTH 110C - 01   California Pasts,LEC: PhysSciences 130,TuTh 09:50AM-11:25AM
ANTH 110G - 01   Westside Stories,LEC: Earth&Marine B214,TuTh 03:20PM-04:55PM
ANTH 110P - 01   India Diaspora Film,LEC: Online,Day and Time:
ANTH 110S - 01   Evolution/Democracy,LEC: Engineer 2 194,TuTh 11:40AM-01:15PM
"ANTH 125 - 01   Magic,Sci,Religion",LEC: Cowell Clrm 131,TuTh 08:00AM-09:35AM
ANTH 130D - 01   Israel-Palestine,LEC: McHenry Lib 1340,TuTh 11:40AM-01:15PM
ANTH 130F - 01   Blackness In Motion,LEC: PhysSciences 114,TuTh 05:20PM-06:55PM
ANTH 131 - 01   Gender in Culture,LEC: Soc Sci 2 179,TuTh 08:00AM-09:35AM
ANTH 134 - 01   Intro Medical Anthro,LEC: Remote Instruction,TuTh 11:40AM-01:15PM
ANTH 142 - 01   Anthropology of Law,LEC: Cowell Clrm 131,TuTh 11:40AM-01:15PM
ANTH 151 - 01   Ethnography Wrkshop,SEM: Crown Clrm 202,TuTh 08:00AM-09:35AM
ANTH 170 - 01   His Archaeol Theory,LEC: Soc Sci 2 159,TuTh 01:30PM-03:05PM
ANTH 183 - 01   Anthropology GIS Lab,LAB: ISB 486,W 09:00AM-12:00PM
ANTH 188C - 01   Arch Practicum C,LAB: Soc Sci 1 341,MF 09:20AM-11:45AM
ANTH 189A - 01   Arch Field Techniques,SEM: Soc Sci 1 153,F 09:20AM-12:20PM
ANTH 194I - 01   Consumptn/Consumerism,SEM: Soc Sci 2 141,M 12:00PM-03:00PM
ANTH 194V - 01   Who Owns the Past?,SEM: Porter Acad 245,W 09:20AM-12:20PM
ANTH 195C - 01   BioAnth Thesis Writing,LAB: TBD In Person,TuTh 01:30PM-03:05PM
ANTH 196K - 01   Settler Colonialism,SEM: Porter Acad 249,M 09:20AM-12:20PM
ANTH 196S - 01   S. Asian Food Cultures,SEM: Soc Sci 2 137,W 10:40AM-01:40PM
ANTH 196X - 01   Medicines for the Soul,SEM: Remote Instruction,W 10:40AM-01:40PM
ANTH 208A - 01   Ethnograph Practice,SEM: Soc Sci 1 414,W 09:00AM-12:00PM
ANTH 220 - 01   Cartography Culture,SEM: Soc Sci 1 317,Tu 11:00AM-02:00PM
ANTH 238 - 01   Cultural Anthropol,SEM: Soc Sci 1 414,F 11:00AM-02:00PM
ANTH 283 - 01   GIS Lab,LAB: ISB 486,W 09:00AM-12:00PM
ANTH 287 - 01   Adv Topic Archaeology,SEM: Soc Sci 1 317,M 09:00AM-12:00PM
