index,Location,Address
0,       Media Theater M110, "453 Kerr Rd Santa Cruz, CA 95064"
1,                Soc Sci 1, "710 College Nine Road, Santa Cruz, CA 95064"
2,              Kresge Acad, "510 Porter-Kresge Rd, Santa Cruz, CA 95064"
3,            ClassroomUnit, "520 Steinhart Way, Santa Cruz, CA 95064"
4,              Steven Acad, "514 Cowell-Stevenson Road, Santa Cruz, CA 95064"
5,             PhysSciences, "590 Steinhart Way, Santa Cruz, CA 95064"
6,              Cowell Acad, "514 Cowell-Stevenson Road, Santa Cruz, CA 95064"
7,               Crown Clrm, "624 Crown Rd Santa Cruz, CA 95064"
8,                Soc Sci 2, "710 College Ten Rd, Santa Cruz, CA 95064"
9,             N. Sci Annex, "560 Red Hill Rd Santa Cruz, CA 95064 United States"
10,           J Baskin Engr, "606 Engineering Loop, Santa Cruz, CA 95064"
11,       Humn Lecture Hall, "Humanities and Social Sciences Facility, 1156 High St, Santa Cruz, CA 95064"
12,       Earth&Marine B214, "Earth and Marine Sciences Building, Santa Cruz, CA 95064"
13,              Engineer 2, "Engineering 2 Santa Cruz, CA 95064"
14,             Cowell Clrm, "514 Cowell-Stevenson Road, Santa Cruz, CA 95064"
16,                     ISB, "550 Red Hill Rd Santa Cruz, CA 95064"
17,             Porter Acad, "Student Activities Office Classrooms, Santa Cruz, CA 95064"
18,              Oakes Acad, "202 Oakes Rd Santa Cruz, CA 95060 United States"
33,            Thim Lecture, "Thimann Lecture Hall, 562 Steinhart Way, Santa Cruz, CA 95064"
35,       Earth&Marine B210, "Earth and Marine Sciences Building, Santa Cruz, CA 95064"
36,             Thimann Lab, "572 Steinhart Way, Santa Cruz, CA 95064"
37,               Nat Sci 2, "Natural Sciences 2 Building , Santa Cruz, California 95064"
40,       Earth&Marine B206, "Earth and Marine Sciences Building, Santa Cruz, CA 95064"
41,              J Bask Aud, "605 Baskin Cir, Santa Cruz, CA 95064"
42,           Sinsheimer Lb, "Sinsheimer Labs Santa Cruz, CA 95060 United States"
44,      J Baskin Engr 301B, "606 Engineering Loop, Santa Cruz, CA 95064"
45,           R Carson Acad, "356 Rachel Carson Road Santa Cruz, CA 95064 United States"
46,            Humanities 1, "353 McLaughlin Dr Santa Cruz, CA 95064 United States"
47,            Merrill Acad, "641 Merrill Rd Santa Cruz, CA 95060 United States"
50,            Cowell Press, "500 Cowell Service Rd, Santa Cruz, CA 95064"
51,              Cowell Com, "1156 High St Santa Cruz, CA 95064 United States"
53,       Earth&Marine D226, "Earth and Marine Sciences Building, Santa Cruz, CA 95064"
54,       Earth&Marine D258, "Earth and Marine Sciences Building, Santa Cruz, CA 95064"
55,       Earth&Marine D250, "Earth and Marine Sciences Building, Santa Cruz, CA 95064"
56,       Earth&Marine D236, "Earth and Marine Sciences Building, Santa Cruz, CA 95064"
57,       Earth&Marine A176, "Earth and Marine Sciences Building, Santa Cruz, CA 95064"
58,       Earth&Marine C332, "Earth and Marine Sciences Building, Santa Cruz, CA 95064"
59,            McHenry Clrm, "414 McHenry Rd Santa Cruz, CA 95064"
60,       Earth&Marine D266, "Earth and Marine Sciences Building, Santa Cruz, CA 95064"
61,             Commun Bldg, "104 Hahn Student Services Building, Santa Cruz, CA 95064"  
65,        Gamelan Stu 230B, "404 McHenry Rd Santa Cruz, CA 95064"
74,          KresgeAnnex A, "510 Porter Kresge Rd Santa Cruz, CA 95064 United States"
75,        Steven Event Ctr, "550 Cowell-Stevenson Road, Santa Cruz, CA 95064"
84,           Hum & Soc Sci, "353 McLaughlin Dr Santa Cruz, CA 95064 United States"
