index,Location,Address
2,               Cowell Coffee Shop, "Cowell Cofee Shop Santa Cruz, CA 95064"
3,               Stevenson Coffee House, "Stevenson Coffee House Santa Cruz, CA 95064"
11, Merrill Market, "Plaza Building 641 Merrill Rd Santa Cruz, CA 95064"
13, Porter Market, "411 Porter-Kresge Rd, Santa Cruz, CA 95064"
15, Owl's Nest, "541 Porter-Kresge Rd, Santa Cruz, CA 95064"
16, Oakes Cafe, "Oakes Cafe Santa Cruz, CA 95064"
20, University Center Coffee Bar, "2 College Nine Rd, Santa Cruz, CA 95064"
24, Perk Coffee Bar at Baskin Engineering, "Perk Coffee Bar at Baskin Engineering, Santa Cruz, CA 95064"
25, Perk Coffee Bar at Physical Sciences, "Perk Coffee Bar at Physical Sciences McLaughlin Dr Santa Cruz CA 95064"
26, Global Village Cafe, "414 McHenry Rd Santa Cruz, CA 95064"
27, Perk Coffee Bar at Earth & Marine Sciences, "Perk Coffee Bar at Earth & Marine Sciences, Red Hill Rd Santa Cruz, CA 95064"
28, Iveta Campus UCSC, "Graduate Student Commons, Hagar Dr, Santa Cruz, CA 95064"
